ID,Textos,Título
0,"                                              La Bocamina  Manuel llevaba quince años trabajando en esa mina, había sido uno de los primeros trabajadores en pisarla, ya no  recordaba si fue en 1891 o 1892, pero lo que nunca olvidaría es que fue testigo de su desaparición.  Era martes, pero el día era lo de menos. Manuel salió de la mina y, como solía hacer, saludó con la mano a los  compañeros del siguiente turno que se disponían a entrar. Pero aquel día no recibió respuesta de ninguno de ellos. Bien es  cierto que tampoco los conocía, pero llevaban el mismo mono y botas de trabajo que él, al fin y al cabo, todos eran  mineros. Ese gesto no habría tenido importancia si no fuese porque al mismo tiempo la bocamina desaparecía por  completo, pero no sus compañeros, que permanecían allí, hablando como si nada hubiese sucedido. A sus oídos llegaron  frases a las que no encontraba sentido. Recuperar el Socavón de la Rebaldana nos llevará mucho tiempo, decía uno. Había  siete pisos. A lo sumo, veremos solo el primero, replicaba otro. En ese momento, Manuel vio como se acercaba una  máquina con ruedas que transportaba herramientas. Tanto el ruido que producía como su forma no le resultaba  familiares, no era como las vagonetas que arrastraban los caballos en su mina. Los hombres no demoraron en coger las  herramientas y empezar a trabajar, justo delante de donde hasta hacía poco estaba la bocamina. Manuel los observó  durante largo tiempo hasta que decidió marcharse con su curiosidad hambrienta. Al día siguiente, nada más llegar a la  mina, preguntó a sus compañeros del quinto piso si sabían algo de la máquina ruidosa. Estos lo miraron incrédulos.  Cómo puede un hombre solo acarrear un carro!. Cuando Manuel salió de la mina, volvió a ocurrir lo del día anterior. Con  los mismos hombres, la misma máquina ruidosa, y la extraña desaparición de la bocamina. Y se repitió al día siguiente, y  al otro también, así durante dos años, en los cuales Manuel se fue transformando en tierra y el Socavón de la Rebaldana  ya no volvió a desaparecer más.   ",la bocamina
1,"                         La desgracia y dicha de Alhazen  Los que me conocieron en vida, y de eso hace ya muchos siglos, me llamaban Alhazen. Fui físico y un experto en  astronomía, también ejercí de tutor de los hijos de los nobles para ganarme la vida, pero mi presuntuosidad hizo que tanto  mi desgracia como mi dicha comenzaran casi al mismo tiempo. Por aquel entonces la ciudad de Egipto soportaba  estoicamente cada año la temida inundación otoñal, cuando se me ocurrió que, por medio de un sistema de diques y  canales, se podía cercar el exceso de agua y guardarla como reserva para cuando llegase la sequía del verano. Era una  idea brillante y presumí tanto de ella ante amigos, que llegó a oídos del califa de Egipto. Este me propuso llevarla a cabo,  algo que alabo mi vanidad. No obstante, no me fue posible, ya que desde la perspectiva de la ingeniería la idea no era  viable. El califa, enojado, habría terminado con mi vida si no hubiese optado por hacerme pasar por loco. Aun así, su  castigo fue privarme de la libertad durante diez largos años. En la penumbra de mi celda, intentaba centrarme en  cualquier minucia para alimentar mi mente, como observar el recorrido de las cucarachas y ratas para prever sus  movimientos; pero estas eran tan previsibles que me aburrían. Mas un día, alentó mi curiosidad un rayo de luz que se  había colado por un pequeñísimo hueco y proyectaba una imagen del exterior sobre la pared opuesta. Ese simple rayo y la  imagen me empujaría en mis años venideros a experimentar con infinidad de lentes, lupas y espejos para desenmarañar  que tipo de relación mantenía la luz y la visión. Descubrí que la luz viajaba en línea recta y creaba imágenes cuando  llegaba a nuestros ojos. No me detuve en este descubrimiento, sino que seguí subiendo por las escaleras del conocimiento  con la esperanza de que, a mi muerte, otras mentes inquietas como la mía continuarían subiéndolas. Pero de eso, repito,  hace muchos siglos ya...   ",la desgracia y dicha de alhazen
2,"                                    EN VENTA O ALQUILER  Soy lo que soy, un paso olvidado de la historia; más de mil metros cuadrados distribuidos en dos plantas de paredes  desconchadas, cristales rotos, hierros oxidados, trozos colgantes de placas llenas de amianto y alguna bombilla que, de  vez en cuando y tras un sonido de quejido chispeante, todavía me da luz en las largas noches solitarias de quien tantas  almas esperanzadas albergó.  Pero no quiero causar más pena de la justa, que todavía tengo algún acompañante, no os creáis; no estoy tan sola como  se podría sospechar desde afuera de la verja. Animales que buscan guarecerse del frío o requieren escondite ante alguna  afilada y ajena dentadura. También vienen los chavales que se matan poco a poco en mis esquinas más oscuras,  marchándose envueltos en una sonrisa de esperanza. Puede que se deba, esa mueca tristealegre, a que estén, en ese  instante primero del viaje, viendo la luz al final del túnel de su vida. Aunque, quizá, sea mi amiga la que brilla frente a su  última mirada, la valiente bombilla que no quiere dejar de trabajar.  Y mientras nado en el recuerdo de vuestras lágrimas y sudores, durante estas horas de triste soledad, sé que fui lo que fui  y soy lo que soy, una herramienta, un encuentro, un refugio y una cárcel, un hogar entre los hogares, alimento, amistad,  incluso amor. Soy yo. Más de mil metros cuadrados distribuidos en dos plantas de ladrillos desconchados, hierros  oxidados, cristales rotos,  trozos colgantes de placas llenas de amianto y alguna bombilla que, de vez en cuando y tras un sonido de quejido  chispeante, todavía me da luz.  Pues eso, que aquí estoy, en la calle Río Miño número 2 de Valencia, por si te place abrir algún negocio o habitarme. Yo no  me voy, no puedo. Deshacerme con el tiempo, sí, eso lo haré con absoluta seguridad si nadie viene a recordar conmigo  que fui necesaria y podría volver a serlo pero, sola no, sola no lo conseguiría.  Te necesito.   ",en venta o alquiler
3,"                                        La lata de Pandora  Nadie sabe si la leyenda es cierta pero los males que hoy asolan el planeta, que corrompen el alma de los débiles y  conducen a la especie humana hacia su propia extinción; antaño fueron liberados por un hombre.  La ignorancia se extiende entre las personas y pocos quedan que se pregunten el porqué de las cosas. En el presente  relato descubriremos la respuesta a la mayor pregunta de la humanidad. Por qué existe el mal? Para responder a ello  debemos preguntarnos antes Por qué el abre latas se inventó casi medio siglo después que la lata?  Con el tiempo, el nombre del inventor de lata de conservas ha ido evolucionando, son las consecuencias de las leyendas,  cada vez que se cuentan se toma uno sus licencias; algo que, sin duda, ocurrirá en el presente relato. Hoy se le conoce  como Peter Durand pero, ni era un hombre, ni así se llamaba, su nombre era Pandurand. Quizá Pandora os suene más,  pero tampoco es del todo correcto.  En efecto, Pandora o Pandurand fue quien, mediante subterfugios, consiguió engañar a los siete pecados capitales,  demonios que campaban por el planeta y lo corrompían. Los encerró en un recipiente de hojalata. El reflectante material  confundía a los demonios y los mantenía cautivos en su interior.  La humanidad vivió una época de paz y prosperidad sin igual. Lo llamaron el medio siglo de oro. La sociedad se  desarrolló cultural, tecnológica e industrialmente a pasos agigantados. Nunca hubo un patrimonio mundial como el de  entonces. Pero cuando se vuela muy cerca del sol uno acaba quemándose.  El destino puso en el camino de Ezra Miller, un actor de una pequeña empresa de teatro llamada Warner. Una lata. Un  objeto que, hasta el momento, no se había podido abrir. Tras años de estudio, Ezra consiguió inventar un objeto capaz de  abrirlo, pero al hacerlo, liberó con ello todo el mal. La avaricia no se alejó demasiado de Ezra quien, con su invento se  volvió tan rico que renunció a su pasado, a su familia y a sus amigos y paso a llamarse Ezra J. Warner.   ",la lata de pandora
4,"                                               Laterminator  La puerta se abrió con fuerza haciendo temblar la estructura de madera. María, que se encontraba sentada junto a la  ventana leyendo un libro, se sobresaltó hasta el punto de que la novela se le cayó de las manos.   Luis Jacobo García!   Solo lo llamaba por su nombre completo cuando estaba realmente enfadada.  Luso, que era como le conocían todos, había entrado en la habitación, pletórico, enérgico y lleno de felicidad. Pero al oír  aquellas palabras su euforia se disipó dando paso al temor. Se había pasado? Ciertamente había sido algo bruco.   Eureka?  Contestó atemorizado. María, su esposa, era una persona paciente, muy pacífica y cariñosa. Fuera de las  paredes del hogar, solo sus alumnos habían conocido su lado más autoritario.  La joven no contestó de inmediato a su marido, quien permaneció plantado junto a la puerta, padeciendo la tensión de no  saber si le iba a caer una regañina. Se agachó, recogió el libro y lo depositó con sumo cuidado en la mesa. Finalmente,  rompió el silencio.   Lo has conseguido?  Casi cinco décadas atrás, un francés inventó una forma para conservar los alimentos mucho más tiempo pues, antes que  él, se había empleado botellas para este uso. Peter Durand patentó el recipiente de hojalata. Muchos habían tratado de  recurrir a su ingenio para abrir aquellos recipientes del demonio. Mazas, martillos, sierras. Algunos incluso habían salido  lastimados.   Sígueme, te lo enseñaré.   Luso condujo a su esposa a través del tortuoso pasillo hasta el taller.  Ahí la tienes. El  Laterminator Ella no pudo contenerse y estalló en carcajadas.   Pensaremos mejor el nombre, Laterminator suena demasiado innovador, incluso futurista.  El objeto metálico que Luso le señalaba, descansaba en la mesa. A su alrededor había numerosos objetos de hojalata que  habían sido seccionados con un corte limpio. El nombre no era del todo descabellado pues había acabado con todo a  cuanto se le había puesto a prueba.   Casi mejor si lo llamamos Abrelatas.   ",laterminator
5,"                                                 Dubrovnik  En el barrio de los jesuitas, estrechas callejuelas y tortuosas. Pavimentos de pequeños rodillos. Allí decidimos darnos la  bienvenida. Toda la piel como única y nueva llena de sal del Adriático.  Una ciudad de herida abierta como nosotros. Y esta historia se repite...  Más de dos mil bombas sobre la piel de las calles. Tus heridas y mis miedos habían decidido hacer trinchera y apostamos  por el cuerpo a cuerpo mientras aquellas se nos iban clavando en los ojos.  Nos bañamos siendo espejo de aguas azules y cristalinas. Nos juramos eternidades aun sabiendo que a los dos nos  esperaba alguien después de nuestras miradas verdes.  Ahora recuerdo la tarde que nos escapamos a Kopari, aquellas ruinas tan cicatriz, ruinas abiertas de un complejo turístico  militar marcado por las bombas. Los gritos, ahora tan callados, nos hacían enmudecer y mirarnos de otra forma: con la  ausencia y el abandono que nos llegaría.  Ahora, después del tiempo que ha pasado, me sigue pareciendo también espejismo de lo que quisimos y no era: nosotros.  Volver a la ciudad de vías sinuosas, a la calle Stradun, artería principal. Una vida alejados que voy acariciando en sus  enormes murallas. En esa fosa que ahora es jardín, sigo sin aprenderme su nombre, he tirado los últimos adioses de todas  mis despedidas sabiendo que esta ciudad es herida abierta con dos mil bombas caídas en un día. Como tú.  Como yo.   ",dubrovnik
6,"                                               La chimenea  La niña contemplaba con sus ojos de luna, la silueta de la enorme chimenea que se levantada justo delante de ella, con  sus ladrillos rojos, anaranjados, blancos, grises y negros, formaba un mosaico multicolor hasta reencontrarse con el cielo.  Su abuelo estaba a su lado y pareciese una estatua allí, con la mirada tan fija en la estructura vertical, como ella misma.  Durante los meses pasados cuando estaba en la cama convaleciente, escuchaba a su abuelo mientras hablaba por  teléfono.   no la tienen por qué derribar   forma parte de nuestro patrimonio   debemos de pelear por conservarla  Mientras el sol se iba escondiendo en una puesta multicolor, el viento soplo y la capucha que cubría la cabeza de la niña  quedo al descubierto, y así los cortos, ralos y escasos cabellos de la niña, empezaron a moverse con él.   Mira niña...  dijo el abuelo.  El sol había ya desaparecido en el horizonte y delante de ellos, la enorme chimenea, era no más, que una gran sombra  oscura.  En ese momento, unas luces empezaron a iluminarla, empezando por la base, y subiendo por ella, enrollándose cual  serpiente, trepando por ella.  Luces amarillas, rojas, verdes, moradas, fueron iluminando todo su fuste, hasta llegar a su remate donde una gran estrella  se ilumino.   Feliz Navidad!  le dijo su abuelo.   ",la chimenea
7,"                                                Estación sur  Cuando niño, viajando en el coche familiar con destino a las playas del sur, me pasaba todo el trayecto pegado al cristal  de la ventanilla, contemplando el paisaje, las ciudades, los puentes que cruzábamos y los que quedaban a un lado;  algunos desamparados por el tiempo y el hombre, otros, recias construcciones de hierro y madera, sujetaban con firmeza  las vías de un tren que cruzaba confiado por ellos y, por tanto, les permitía alcanzar su destino de viajeros impacientes en  los abarrotados andenes.  Con el paso de los años y el cierre de rutas ferroviarias, los puentes metálicos y los edificios de las estaciones fueron  abandonados a su suerte, incluidos los que sirvieron en su día como talleres, albergue de máquinas desahuciadas o  almacén de vagones antiguos, carcomidos por el óxido y las termitas. Ahora vacíos de gente y habitados de fantasmas.  Entre todos ellos, guardaba en mi recuerdo uno de esos edificios yermos. Era una construcción enorme, con su esqueleto  metálico sobresaliendo más allá de sus muros de ladrillo. Tres alturas en reducción cuyas paredes albergaban un número  ingente de pequeñas ventanas heridas por el vandalismo o el robo. Al lado aparecía, casi vencida, una grúa de gran  tamaño que, en sus buenos tiempos, había cargado con vagones, motores o incluso máquinas averiadas, trasladándolas  de una vía a otra, del taller a una estación repleta de viajeros y niños curiosos.  Ahora, pasado el tiempo, sigo observando sus sombras pobladas de cigüeñas, decenas de nidos gigantes coronando sus  torres abandonadas. Siempre creí que sería justo rehabilitar aquellos edificios ferroviarios y darles un nuevo cometido,  recuperar sus múltiples anécdotas y su historia, que no dejaba de ser, también, nuestra historia.  Hoy, desde la ventanilla del autobús, puedo diferenciar los nidos nuevos que posan sobre aquel edificio rendido al tiempo.  Aún me llega, lejano, el crotorar de las cigüeñas como una llamada de auxilio, tal vez de vida latiendo entre las ruinas.   ",estacion sur
8,"                                                  BOOOM!  BOOOM!    Sí, fuí uno de los protagonistas más importantes de esta historia, deseado por muchos, alabado por todos y copiado en  toda Europa durante siglos. He sido el precursor de una industria potente, indispensable. Soy un cañón y pertenezco a la  industria naval y en mi caso unido a la historia de la Marina española, una Armada que para ser efectiva necesitaría  principalmente de mis esfuerzos. Protagonicé la primera siderurgia e industria armamentística del país que produjo entre  1622 y 1835, elementos de artillería y munición de hierro destinados a la defensa del Imperio español y a garantizar su  dominio de los mares. El desarrollo de la artillería en el siglo XV y su eficacia en los campos de batalla europeos fueron  una revolución tecnológica y una carrera armamentística, una revolución industrial por el uso de nuevas técnicas de  fundición. La apremiante necesidad de cañones como yo, obligó a un sistema de producción autárquico. La localización de  la fundición respondía a criterios de aprovisionamiento de materia prima en los bosques, el caudal del río Miera, las  canteras, minas de hierro, abundante mano de obra. De 1716 a 1800 vino la gran época de La Cavada, debido a la  importante expansión de las rutas del Atlántico y el crecimiento de la Armada española por la protección de los barcos de  las rutas por las Indias. Se construyeron, más de 6900 cañones. La Armada disponía de 60 navíos con más de 6000 piezas  de artillería. Esta época fue el gran despegue de los cañones de hierro colado, supuso un gran prestigio por ligereza y  seguridad. Era de sobra conocida en el mundo la calidad de nosotros, los cañones, que éramos poco lucidos, pero  teníamos una gran virtud: no solíamos reventar aunque nos sometieran a un prolongado fuego, a diferencia de otros  cañones que lo hacían de improviso con el peligro que suponía para los artilleros.   ",booom
9,"                                                  Engranaje  Los primeros rayos de luz se filtran por las ventanas.  El rumor sordo de un nuevo día retumba en los callejones mientras decenas de personas anónimas, cargadas de prisas y  temores, deambulan apostando a chicas en una partida de cartas en la que siempre tienen las de perder.  Últimamente, la rutina se ha convertido en entelequia. En vago recuerdo de un pasado reciente que, en la memoria de  todos, parece pertenecer a otro siglo, a otro milenio.  A otra vida.  Todos hemos cambiado. Todo ha cambiado.  Ya nada es como antes y, lo que es peor, ya nada volverá a ser como antes.  Distantes, separados por una burbuja invisible que nos aísla de los que, hace unos días, eran vecinos y hermanos,  intentamos sobrellevar los reveses de un futuro borroso, pero que aventuramos triste.  Ya no hay certezas. En este continuo holocausto de mascarillas y gel, sólo el miedo y la incertidumbre parecen inevitables.  Ineludibles. Desgraciadamente necesarios.  La ciudad ha mutado. Ha involucionado. Plazas y parques, otrora reinos de la libertad, son hoy vergeles deshabitados.  Oasis desterrados de sus colonos. Extravagancias sin uso que comienzan a desquebrajarse y descomponerse.  Asomado al balcón, recuerdo días que no volverán. Mañanas que jamás nacían y noches que se resistían a terminar. En el  horizonte, las aceras, desdibujadas y vacías, me recuerdan que la pandemia no ha terminado. Que la cuarta o la quinta ola  aún están por llegar. Que el miedo permanece entre nosotros, como un invitado impertinente que rehúsa a largarse.  Sólo allí, al fondo, justo donde la vista se pierde, encastrada en la ladera de la montaña, junto a la cantera de mármol, la  fábrica sigue en marcha. Jornada tras jornada, la vieja prospección minera me recuerda que, aunque, a veces pueda  parecer lo contrario, la vida se abre paso y las dificultades se superan.  Sus más de doscientos años son buena prueba de ello.  Así que alzo mi taza de café y, en un gesto infantil, sonrío y brindo por la resiliencia.  Por la fábrica.  Y por mí.   ",engranaje
