review_title,date,type,review_body,name,category,ecology,dimension,region,tag
Experiencia familiar,2021-07-01,Familia,Paseo estupendo para pasar un rato genial. Además de un área perfecto para disfrutar del bocata y la tortilla.,BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag10
Merece lapena,2021-06-01,Parejas,"Buena explicación, curioso sistema de exclusas. Muy ameno y didáctico. El canal de la Mancha es un gran desconocido fuera de la región debería promocionarse más. 5€ entrada normal, 3€ reducida.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag11
Totalmente recomendable,2021-05-01,Amigos,"Un día estupendo de principio a fin. La zona del canal es preciosa, rodeado de arbolado y agua. Además tengo que agradecer que sean ""dog friendly"" y que permitan que los perros educados puedan subir al barco. Un reconocimiento especial al guía turístico, Jorge, por su paciencia al responder a tantas llamadas de teléfono y a contestar con mucha amabilidad en todo momento, además de ser un buen profesional y explicarnos con mucho interés la historia del canal. Además nos aconsejó dar un buen paseo por los senderos próximos y montar en una barca para atravesar el río que nos resultó especialmente divertido. Muchas gracias también al patrón del barco que tuvo una actitud muy cariñosa con lis niños y los perrines. En resumen es que es totalmente recomendable y seguro que volveremos. Muchas gracias 😘",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag12
Impresionante,2021-05-01,Amigos,No os lo perdáis IMPRESIONANTE Los patronos geniales INTEresanrisimo Revolución industrial castellana,BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag13
Muy buena y recomendable,2021-05-01,Individual,"eramos un grupo pequeño y los dos chicos una atencion muy buena, saber que tenemos estas maravillas a 1 hora......",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag14
Paseo por el Canal,2020-11-01,Familia,"Fue un acierto hacer esta excursión. Tuvimos unos guías, Juan Carlos y Jorge, estupendos, que nos hicieron una explicación más que completa sobre el Canal de Castilla por la zona de Herrera de Pisuerga. Totalmente recomendable!",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag15
"Relajante, hermoso y divulgativo",2020-10-01,Parejas,"Buena experiencia, previa llamada telefónica para concertar cita y explicación de acceso al centro de interpretación donde pagar y luego a la dársena del Canal.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag16
estupendo viaje,2020-07-01,Individual,"viaje fluvial en barco electrico, ahora con distaciamiento covid, tranquilo, agradable , fresco e instructivo,donde atraviesas, en viaje de ida y vuelta, con subida y bajada por una esclusa del canal de castilla todavia funcionante. ademas el centro de interpretacion dispone de buen aparcamiento, mesas de picnic y posibilidad de rutas de senderismo,entre ellas una circular, que nos comento el capitan y atraviesa el canal mediante una barcaza de maroma, o sea atravesar el rio, en una barca, tirando de una soga. muy recomendable las dos actividades. conviene reservar. la direccion esta mal señalizada asi que atender y apuntar bien a las instrucciones que dan al reservar.",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag17
Muy bien,2020-08-01,Familia,Explicación y atención muy buena por parte de todos. El viaje es tranquilo y agradable. Tiene parking. No se puede decir nada malo.,BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag18
Repetiremos,2020-07-01,Parejas,"Visita al barco previa reserva, ya que si no en época estival es imposible.. Viaje en barco de una hora aproximadamente en la que recorres parte del canal, haces el cambio de esclusas.. es impresionante... Es la mejor manera de poder llegar a imaginar la importancia que tuvo el canal de Castilla. Para recomendar y repetir. Volveremos",BarcoHerreraPisuerga,Patrimonio industrial,Elemento,Historia,Palencia,tag19
