term,occurrences,weight
años,91,0.02126803175576701
vida,88,0.021598667870187462
día,71,0.017271405396336363
fábrica,61,0.018306018376143547
aquella,52,0.0164625284303574
casa,49,0.013988875583837474
industrial,48,0.015637116732015448
ciudad,43,0.015017955356370896
abuelo,42,0.018382706018508138
máquina,42,0.01545778570054435
máquinas,41,0.014189169217610731
padre,39,0.013569125492805815
patrimonio,38,0.014283782675118626
luz,37,0.011522137818440012
mundo,35,0.011941227865354516
allí,34,0.010750472262230066
recuerdo,32,0.01107074497927728
hombre,32,0.011818395502863314
paso,31,0.010770998306161881
forma,31,0.009892430110679204
ojos,31,0.010200857857730781
tierra,30,0.010818260023448411
historia,29,0.01023011225759078
hombres,29,0.01171683005016351
mina,27,0.010861539350490716
mano,27,0.010143012053828998
pueblo,27,0.010069904060881867
agua,27,0.009890415256083817
industria,26,0.00962787663572387
manos,26,0.009390455084260327
mañana,24,0.009291234265101866
niño,23,0.009651856972103563
hacía,23,0.008533368522516923
obra,21,0.00870827019102045
memoria,21,0.00872932395781283
papel,21,0.009121833764673378
vieja,21,0.008654652186157217
tarde,21,0.008217619287470241
don,20,0.009411251833665712
podía,20,0.008561696935126166
metal,20,0.007897277519040466
año,20,0.007491964007053194
zona,20,0.007461179061540872
días,20,0.008331809990005943
tren,20,0.008770792864449215
mar,20,0.008833332510656364
suelo,19,0.007146431987591873
noche,19,0.007655869970393678
nombre,19,0.008398207563845296
llegar,19,0.007248044866451997
