term,occurrences,weight
visita,2594,0.04274244280652603
museo,1122,0.02593393003686152
mina,1021,0.024616334330064375
niños,768,0.02030933505087066
interesante,736,0.022027280404170818
cueva,677,0.01863971279344681
guía,676,0.017253090630467784
pena,640,0.018367470459911977
recomendable,633,0.018568487054364317
historia,599,0.01700352610555694
experiencia,535,0.015168335889623312
merece,467,0.015254957836342713
visitar,463,0.013609088313360468
mineros,456,0.012469212843285664
tren,418,0.01238927874579736
canal,403,0.01296018324782442
sidra,400,0.012975324789363805
recorrido,373,0.010970275464720425
asturias,362,0.010987555978733144
años,354,0.010076147653688642
pinturas,352,0.01164967396810496
paseo,341,0.01175226412048791
explicaciones,341,0.010916362412632375
entrada,333,0.009609331604817866
guiada,327,0.01097709466258881
guías,319,0.010603509705059529
puedes,313,0.010227633153335202
hora,311,0.009683995735198262
zona,311,0.009865503298196094
día,308,0.008855727817398592
minero,287,0.009358982061839716
mas,282,0.008754267045749706
cuevas,269,0.00980782498367235
recomiendo,268,0.00935490383514726
reservar,252,0.008847417291506213
personas,244,0.007203822480404329
ruta,242,0.007904859450298946
agradable,236,0.00926902386178578
camino,235,0.007216504872532393
horas,235,0.007495278987994141
gracias,233,0.007274274144195084
barco,229,0.0077315317266848475
centro,218,0.007018188673062491
vidrio,209,0.008114880713064907
viaje,207,0.007538388854826233
vida,203,0.007306765743975241
trenes,199,0.00856345047154675
fábrica,194,0.007253675722163196
final,193,0.006651582854791516
personal,193,0.007419548223197624
