term,occurrences,weight
patrimonio industrial,2690,0.29826021620133414
industrial minero,127,0.013772655877491866
visita interesante,94,0.009004093982481812
visita mina,81,0.006877841048709211
tren minero,63,0.005443614179487817
visita museo,62,0.005850622812160737
visita recomendable,54,0.005075388042382728
museo interesante,54,0.005474023447013135
interesante visita,52,0.004875982643384448
visitar museo,49,0.004719604811018778
industrial asturias,46,0.005081239350797754
visita cueva,39,0.0034067478226675993
recomendable visita,37,0.0035107766115652778
visitar cueva,34,0.0030688754159721517
historia canal,33,0.003402988742195383
historia patrimonio,31,0.003393268620264031
paseo tren,29,0.0022786932013400666
interesante museo,27,0.0027795338002322757
visitar mina,26,0.002273454122617514
cueva pinturas,26,0.0024389389423228472
recomendable niños,25,0.002390498870603471
museo mina,24,0.0019951617229255624
visita guía,22,0.0023264288307545894
recorrido tren,22,0.002267596924556451
visita merece,21,0.0021179694884863338
experiencia recomendable,20,0.0020631006575500548
visita fábrica,19,0.001788646929305252
interesante historia,19,0.001966466833871784
entrada cueva,19,0.0017894909351412697
mineros visita,18,0.0017069590939602878
museo visita,18,0.001628069857995032
mina visita,18,0.0017042952423019244
museo merece,18,0.0017433892320802462
niños visita,17,0.0016935117380083378
paseo canal,16,0.001726604169230745
mina guía,16,0.0014403607467334148
historia fábrica,15,0.001599721250430406
tren mina,15,0.001238273571205225
museo sidra,15,0.001485433934611755
interesante niños,15,0.0016041782879037357
interesante guía,15,0.0014641954763859317
mina museo,15,0.0012886520649128882
interesante visitar,15,0.0014788250876785613
industrial fábrica,15,0.0017751458860715895
merece visita,14,0.0014681074889820694
visitar fábrica,14,0.0012547970608284018
historia asturias,14,0.0013435188618352981
visita niños,13,0.0011936355166537347
asturias visita,13,0.0012288949779952372
industrial patrimonio,13,0.0014663008072270923
