term,occurrences,weight
patrimonio,3063,0.0356645374476014
industrial,3022,0.03486541253186894
visita,2702,0.02725317304652074
museo,1282,0.01661608123268141
mina,1082,0.014114863785378474
historia,829,0.012189072854419506
niños,785,0.011263378837102296
interesante,777,0.012691625245478932
guía,698,0.009718618185421626
pena,682,0.01075099744744843
cueva,678,0.009920754173645558
recomendable,638,0.010300255580543111
años,574,0.007713174511130808
experiencia,559,0.008462658843437207
fábrica,558,0.009558171798268752
asturias,519,0.0093054879526479
visitar,512,0.008130538904303418
mineros,498,0.007264747983226013
merece,490,0.008547223848428362
minero,490,0.008722711652098357
día,486,0.00677694684366139
tren,469,0.007111031168695109
canal,419,0.007054092172955694
recorrido,404,0.006273286992278678
días,404,0.009106151109925378
sidra,403,0.006812828709063737
entrada,402,0.006627342467333286
zona,365,0.00576867090510972
paseo,364,0.006458012403183959
pinturas,358,0.006146701360159236
guiada,355,0.006320681590550207
gracias,349,0.006057569139840551
explicaciones,347,0.005792113900445459
antigua,345,0.007006597380645411
puedes,345,0.005989778513020438
centro,336,0.005864280448763347
hora,328,0.005244081537798
vida,327,0.004755345636770501
guías,320,0.005581723519935038
mas,307,0.004963506234025537
ruta,296,0.0051202573197015
horas,296,0.004947667577720102
personas,282,0.00425988411864655
exposición,278,0.005863228440381307
cuevas,274,0.005169223013271384
recomiendo,274,0.0049733802989804935
camino,268,0.004188298357670159
pozo,259,0.004606500701356368
amantes,257,0.007691019041512365
cultural,256,0.005352921157719899
