term,occurrences,weight
patrimonio,2975,0.0493065895053784
industrial,2899,0.04788511354893583
fábrica,303,0.012430671379161802
días,294,0.014182240216442554
amantes,237,0.012711640194343675
cultural,217,0.008647421841897842
antigua,211,0.00998695692491291
historia,201,0.008583169889410587
minero,196,0.009261813542202938
blog,193,0.010836741287219726
museo,155,0.007336572019700003
asturias,154,0.00874504210073033
ciudad,148,0.006333260075377383
central,143,0.007260813334661508
jornadas,130,0.006506015322942528
años,129,0.005987107860522595
san,119,0.005729859519306198
centro,116,0.005552590079297241
estación,115,0.006949741280261472
exposición,115,0.00666021797860565
proyecto,109,0.005225751554669254
día,107,0.005342407962195694
gracias,106,0.005592165999682022
visita,102,0.005766933539155118
madrid,101,0.005616510698150324
vía,99,0.006164571489453611
oviedo,99,0.005366701671389983
histórico,98,0.004966626438646392
puerto,94,0.005277440336601281
españa,93,0.004855972672000419
protección,92,0.005019766230859145
recuperación,88,0.004495313047680019
conservación,86,0.004682100389281384
valencia,85,0.00553830042280667
espacio,81,0.003938589116083445
león,80,0.004645606600422982
cultura,78,0.003955776801600992
naves,78,0.0044823761257384714
memoria,76,0.00408482765107789
chimenea,76,0.0042535764593761545
molino,74,0.004502679485082639
vega,73,0.003962137075510161
asociación,73,0.004091753482338203
antiguo,72,0.004259104467857873
futuro,72,0.003785123639001215
defensa,72,0.00363944657330573
programa,71,0.0041433763762262245
mañana,69,0.0040266267705094585
edificio,67,0.0034221026791049595
info,67,0.003487218212812147
