ID,Textos
TW0000,     El especial Film Commissions del nuevo num. de  incluye un reportaje sobre los  y  vinculadas al patrimonio industrial de  y sobre la nueva apuesta de  la marca  Asturias Naturaleza Minera .   
TW0001,"  Ya a la venta los Itinerarios por el Patrimonio para este verano. El Camín de los Santuarios y el Patrimonio Industrial, protagonizan las próximas rutas. "
TW0002,"Preciosa exposición en el Museo de la Industria Armera en Eibar de los diseños industriales de material de oficina de las empresas Imperial Española, Laster, Orozco y Echevarría, Servetta. "
TW0003," Imprescindible: rescatador de paisajes... y visionario de la riqueza del Patrimonio Industrial de Fray Bentos...  a causa del revuelo x UPM y BOTNIA, hoy tienen un Patrimonio Mundial     Este es el legado Arana"
TW0004,El Patrimonio Industrial de Asturias en 8 museos. Si nos los conoces...  anota   
TW0005,"Los ayuntamientos han contado con apoyo del Instituto de Transición Justa en 200 proyectos con más de 200 M: recuperación de patrimonio industrial y cultural, viveros para empresas, vivienda social, sendas verdes que recorren una naturaleza espectacular, centros municipales... "
TW0006,Esta mañana toca disfrutar.  Arqueología y patrimonio industrial en diálogo con la creación plástica contemporánea (días temporales dedicadas a Ovejero y Ernst Kraft). 
TW0007,"Sobre la invisibilización dentro de la diversidad sexual, el patrimonio industrial y los duelos que no hablamos, escriben este sábado   y Graciela Rock.   |  |  "
TW0008,Descubriendo la esencia de las  junto a   Un recorrido para conocer el patrimonio industrial y natural de esta comarca junto al aventurero más conocido de       
TW0009,"Asturias si yo pudiera Si yo supiera cantarte Si yo quisiera DEFENDERTE El patrimonio industrial,minero y material en gral. de  es tan importante como un Himno culturalmente hablando y nos debe acelerar igual el corazón DEFENDÁMOSLO PUES No esperemos que caiga el siguiente"
TW0010, Han integrado en Essen  unos antiguos talleres en un IKEA en vez de dejarlos abandonados o demolerlos   Han integrado en Essen unos antiguos talleres en un IKEA vez de dejarlos abandonados o demolerlos 
TW0011,Industry  amp; Heritage  Cuatro paseos por el patrimonio industrial de la ría de  .    
TW0012,"Su TFM  Aplicación de técnicas de realidad virtual en el ámbito del patrimonio industrial , dirigido por Sergio Martín Béjar y Carolina Bermudo Gamboa, ha conseguido el máximo reconocimiento en esta convocatoria de ámbito nacional."
TW0013,SOS fábrica      
